"ICAO","IATA","airport","city","nation"
"YDAY","DBY","多爾比機場","多爾比","澳大利亞"
"YDBR","DNB","鄧巴機場","鄧巴，昆士蘭州","澳大利亞"
"YDBY","DRB","德比機場","德比","澳大利亞"
"YDGA","DGD","Dalgaranga機場","Dalgaranga金礦，西澳洲","澳大利亞"
"YDIX","DXD","Dixie機場","Dixie，昆士蘭州","澳大利亞"
"YDKI","DKI","鄧克島機場","鄧克島","澳大利亞"
"YDLK","DLK","Dulkaninna機場","Dulkaninna，南澳洲","澳大利亞"
"YDLQ","DNQ","德尼利昆機場","德尼利昆","澳大利亞"
"YDLT","DDN","Delta Downs機場","Delta Downs，昆士蘭州","澳大利亞"
"YDLV","DLV","Delissaville機場","Delissaville，北領地","澳大利亞"
"YDMG","DMD","Doomadgee機場","Doomadgee","澳大利亞"
"YDOR","DRD","Dorunda機場","Dorunda，昆士蘭州","澳大利亞"
"YDPD","DVP","達文港Downs機場","達文港Downs Station","澳大利亞"
"YDPO","DPO","德文港機場","德文港，塔斯馬尼亞州","澳大利亞"
"YDRA","DOX","當加拉機場","當加拉","澳大利亞"
"YDRD","DRY","Drysdale河機場","Drysdale河","澳大利亞"
"YDRH","DHD","Durham Downs機場","Durham Downs","澳大利亞"
"YDRI","DRR","Durrie機場","Durrie","澳大利亞"
"YDVR","DKV","多克河機場","Kaltukatjara","澳大利亞"
"YDYS","DYA","Dysart機場","Dysart","澳大利亞"
"YECH","ECH","艾瑟卡機場","艾瑟卡，維多利亞州","澳大利亞"
"YECL","EUC","尤克拉機場","尤克拉","澳大利亞"
"YEDA","ETD","Etadunna機場","Etadunna，南澳洲","澳大利亞"
"YEEB","ENB","Eneabba機場","Eneabba，西澳洲","澳大利亞"
"YELD","ELC","埃爾科島機場","埃爾科島","澳大利亞"
"YEML","EMD","埃默拉爾德機場","埃默拉爾德","澳大利亞"
"YERN","ERB","Pukatja機場","Pukatja","澳大利亞"
"YESE","ERQ","埃爾羅斯機場","埃爾羅斯銅礦","澳大利亞"
"YESP","EPR","埃斯佩蘭斯機場","埃斯佩蘭斯","澳大利亞"
"YEVD","EVH","Evans Head紀念機場","Evans Head","澳大利亞"
"YEXM","EXM","埃克斯茅斯機場","埃克斯茅斯，西澳洲","澳大利亞"
"YFBS","FRB","福布斯機場","福布斯","澳大利亞"
"YFIL","FLY","芬利機場","芬利","澳大利亞"
"YFLI","FLS","弗林德斯島機場","弗林德斯島，塔斯馬尼亞州","澳大利亞"
"YFLO","FVL","弗羅拉谷機場","弗羅拉谷，西澳洲","澳大利亞"
"YFNE","FIK","芬克機場","芬克","澳大利亞"
"YFRT","FOS","福雷斯特機場","福雷斯特","澳大利亞"
"YFRV","FVR","福雷斯特河機場","Oombulgurri","澳大利亞"
"YFST","FOT","福爾斯特-瓦利斯島機場","福爾斯特","澳大利亞"
"YFTZ","FIZ","斐茲洛伊克羅欣機場","斐茲洛伊克羅欣，西澳洲","澳大利亞"
"YGAM","GBP","甘布拉機場","甘布拉，昆士蘭州","澳大利亞"
"YGAY","GAH","蓋恩達機場","蓋恩達","澳大利亞"
"YGBI","GBL","南高奔島機場","高奔群島","澳大利亞"
"YGDI","GOO","貢迪溫迪機場","貢迪溫迪","澳大利亞"
"YGDN","GDD","Gordon Downs機場","Gordon Downs，西澳洲","澳大利亞"
"YGDS","GGD","桂格理平原機場","桂格理平原，昆士蘭州","澳大利亞"
"YGEL","GET","傑拉爾頓機場","傑拉爾頓，西澳洲","澳大利亞"
"YGFN","GFN","Clarence河谷支線機場","格拉夫頓","澳大利亞"
"YGIA","GBW","Ginbata機場","萊丘","澳大利亞"
"YGIB","GBV","Gibb河機場","Gibb河","澳大利亞"
"YGKL","GKL","大克佩爾島機場","大克佩爾島，昆士蘭州","澳大利亞"
"YGLA","GLT","格拉德斯通機場","格拉德斯通，昆士蘭州","澳大利亞"
"YGLE","GLG","Glengyle機場","Glengyle","澳大利亞"
"YGLG","GEX","吉朗機場","吉朗，維多利亞州","澳大利亞"
"YGLI","GLI","格倫因尼斯機場","格倫因尼斯","澳大利亞"
"YGLO","GLM","Glenormiston機場","Glenormiston","澳大利亞"
"YGTH","GFF","葛瑞菲斯機場","葛瑞菲斯","澳大利亞"
"YGTO","GEE","喬治鎮機場","喬治鎮","澳大利亞"
"YKII","KNS","King Island","King Island","澳洲"
"YKSC","KGC","","Kingscote","澳洲"
"YLIS","LSY","Lismore","Lismore","澳大利亞"
"YLLE","BBL","Ballera機場","Ballera，昆士蘭州","澳大利亞"
"YMAV","AVV","愛華隆機場","愛華隆","澳大利亞"
"YMAY","ABX","奧爾伯裡機場","新南威爾斯州奧爾伯裡","澳大利亞"
"YMDG","DGE","馬奇機場","馬奇","澳大利亞"
"YMIA","MQL","Mildura","Mildura","澳大利亞"
