"ICAO","IATA","long","lat"
"LFAX",NA,0.533889,48.540298
"LFAY",NA,2.3871,49.873
"LFBA","AGF",0.5906,44.1747
"LFBC",NA,-1.125,44.5333
"LFBD","BOD",-0.7156,44.8283
"LFBE","EGC",0.5186,44.8253
"LFBF",NA,1.3675,43.5456
"LFBG","CNG",-0.3175,45.6583
"LFBH","LRH",-1.1953,46.1792
"LFBI","PIS",0.3067,46.5877
"LFBJ",NA,0.92,45.903301
"LFBL","LIG",1.17944,45.862801
"LFBM",NA,-0.5075,43.9117
"LFBN","NIT",-0.3945,46.3135
"LFBO","TLS",1.3638,43.6291
"LFBP","PUF",-0.418611,43.380001
"LFBR",NA,1.2633,43.4489
"LFBS",NA,-1.1306,44.3694
"LFBT","LDE",-0.006439,43.178699
"LFBU","ANG",0.2215,45.7292
"LFBX","PGX",0.8156,45.1981
"LFBY","XDA",-1.0689,43.6892
"LFBZ","BIQ",-1.531111,43.468333
"LFCA",NA,0.5519,46.7814
"LFCC","ZAO",1.4753,44.3514
"LFCD",NA,-1.0633,44.7561
"LFCE",NA,1.95833,46.179199
"LFCG",NA,1.1032,43.0078
"LFCH","XAC",-1.1108,44.5964
"LFCI","LBI",2.1131,43.9139
"LFCJ",NA,-0.4214,45.4842
"LFCK","DCM",2.2892,43.5563
"LFCL",NA,1.4992,43.5861
"LFCM",NA,3.183,43.9893
"LFCN",NA,-0.0328,43.7697
"LFCP",NA,-0.515,45.57
"LFCQ",NA,2.0108,43.7711
"LFCR","RDZ",2.4827,44.4079
"LFCS",NA,-0.5956,44.7003
"LFCT",NA,-0.1528,46.9619
"LFCV",NA,2.02806,44.369999
"LFCW",NA,0.7589,44.3969
"LFCX",NA,1.1283,44.0869
"LFCY","RYN",-0.9725,45.6281
"LFCZ",NA,-1.1643,44.1459
"LFDA",NA,-0.245278,43.7094
"LFDB","XMW",1.378,44.0257
"LFDC",NA,-0.4522,45.2744
"LFDF",NA,0.1767,44.8536
"LFDG",NA,1.8756,43.8839
"LFDH",NA,0.6017,43.6878
"LFDI",NA,-0.1347,44.9825
"LFDJ",NA,1.6958,43.0906
"LFDK",NA,-1.08222,45.494999
"LFDL",NA,0.101389,47.037201
"LFDM",NA,0.2005,44.4989
"LFDN","RCO",-0.9831,45.8878
"LFDP",NA,-1.31611,45.959202
"LFDQ",NA,0.5217,43.2794
"LFDR",NA,-0.0561,44.5681
"LFDS",NA,1.2447,44.7933
"LFDT",NA,0.078611,43.216099
"LFDU",NA,-0.8822,45.1978
"LFDV",NA,0.1906,46.2728
"LFDW",NA,0.6425,46.5836
"LFDX",NA,1.0078,44.4636
"LFDY",NA,-0.4792,44.8772
"LFEA",NA,-3.19833,47.326698
"LFEB",NA,-2.1014,48.4444
"LFED",NA,-2.92183,48.058498
"LFEF",NA,0.9425,47.3414
"LFEH",NA,2.3942,47.4806
"LFEI",NA,2.7819,47.6144
"LFEJ",NA,1.62111,46.8419
"LFEK",NA,2.04139,46.888599
"LFEL",NA,1.0875,46.6208
"LFEM",NA,2.6858,47.9606
"LFEN",NA,0.7011,47.2675
"LFEQ",NA,-3.1,47.482201
"LFER",NA,-2.0367,47.6994
"LFES",NA,-3.66472,48.052502
"LFEU",NA,5.1858,48.8683
"LFEV",NA,5.619518,47.432023
"LFEX",NA,6.2411,48.5928
"LFEY","IDY",-2.39111,46.718601
"LFEZ",NA,6.2078,48.7244
"LFFB",NA,2.4256,48.3511
"LFFC",NA,1.6897,49.0789
"LFFD",NA,1.2506,48.8986
"LFFE",NA,2.3531,49.0464
"LFFG",NA,3.2767,48.7558
"LFFH","XCY",3.3569,49.0672
"LFFI",NA,-1.1775,47.4081
"LFFJ",NA,5.145,48.3861
"LFFK",NA,-0.7928,46.4414
"LFFL",NA,1.64,48.5158
"LFFN",NA,4.48222,48.429798
"LFFP",NA,2.1925,48.1572
"LFFQ",NA,2.3389,48.4987
"LFFT",NA,5.7214,48.3625
"LFFW",NA,-1.3256,46.9331
"LFFX",NA,4.9767,46.5628
"LFFY",NA,1.6386,49.3061
"LFFZ",NA,3.7642,48.7106
